date,hr_beg,ACTUAL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE
2014-01-24,16,1940.32,2383.002040816326
2014-01-24,17,2155.76,2520.783673469388
2014-01-24,18,2377.24,2690.7571428571423
2014-01-24,19,2908.75,2882.222448979592
2014-01-24,20,3766.88,3031.7897959183674
2014-01-24,21,4310.46,3046.64081632653
2014-01-24,22,3679.44,2857.3530612244904
2014-01-24,23,2691.72,2705.069387755102
2014-01-25,0,2658.11,3156.424489795918
2014-01-25,1,4418.23,3883.8897959183682
2014-01-25,2,5822.78,4619.118367346938
2014-01-25,3,6220.58,5068.4979591836745
2014-01-25,4,5609.91,5330.571428571429
2014-01-25,5,5177.15,5405.7040816326535
2014-01-25,6,5096.0,5429.724489795917
